code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,table,endpoint,topic
SAPCE2-1,02000,Alaska,1998,Dollars,0,24110,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,1999,Dollars,0,25423,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2000,Dollars,0,27243,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2001,Dollars,0,28599,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2002,Dollars,0,30252,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2003,Dollars,0,31704,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2004,Dollars,0,33138,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2005,Dollars,0,35017,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2006,Dollars,0,35947,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2007,Dollars,0,37656,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2008,Dollars,0,38911,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2009,Dollars,0,38871,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2010,Dollars,0,39968,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2011,Dollars,0,41449,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2012,Dollars,0,42455,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2013,Dollars,0,42914,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2014,Dollars,0,44251,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2015,Dollars,0,45018,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2016,Dollars,0,45703,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2017,Dollars,0,47074,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2018,Dollars,0,48904,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2019,Dollars,0,50140,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2020,Dollars,0,47762,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2021,Dollars,0,53982,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,2022,Dollars,0,59179,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,1997,Dollars,0,20364,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,1998,Dollars,0,21251,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,1999,Dollars,0,22272,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2000,Dollars,0,23528,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2001,Dollars,0,24135,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2002,Dollars,0,24770,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2003,Dollars,0,25926,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2004,Dollars,0,27487,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2005,Dollars,0,29116,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2006,Dollars,0,30529,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2007,Dollars,0,31513,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2008,Dollars,0,31456,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2009,Dollars,0,30090,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2010,Dollars,0,30689,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2011,Dollars,0,31580,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2012,Dollars,0,32261,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2013,Dollars,0,33037,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2014,Dollars,0,34068,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2015,Dollars,0,34963,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2016,Dollars,0,35827,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2017,Dollars,0,37651,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2018,Dollars,0,39285,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2019,Dollars,0,40519,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2020,Dollars,0,40605,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2021,Dollars,0,46023,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,04000,Arizona,2022,Dollars,0,50123,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,1997,Dollars,0,16074,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,1998,Dollars,0,16862,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,1999,Dollars,0,17839,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2000,Dollars,0,18878,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2001,Dollars,0,19615,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2002,Dollars,0,20268,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2003,Dollars,0,21208,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2004,Dollars,0,22293,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2005,Dollars,0,23574,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2006,Dollars,0,24523,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2007,Dollars,0,25472,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2008,Dollars,0,26147,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2009,Dollars,0,25712,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2010,Dollars,0,26513,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2011,Dollars,0,27559,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2012,Dollars,0,28227,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2013,Dollars,0,28820,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2014,Dollars,0,29915,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2015,Dollars,0,30759,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2016,Dollars,0,31828,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2017,Dollars,0,32785,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2018,Dollars,0,34151,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2019,Dollars,0,34722,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2020,Dollars,0,34979,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2021,Dollars,0,39231,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,05000,Arkansas,2022,Dollars,0,42245,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,1997,Dollars,0,20988,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,1998,Dollars,0,21897,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,1999,Dollars,0,23174,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2000,Dollars,0,24843,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2001,Dollars,0,25721,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2002,Dollars,0,26525,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2003,Dollars,0,27670,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2004,Dollars,0,29284,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2005,Dollars,0,31119,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2006,Dollars,0,32926,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2007,Dollars,0,34659,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2008,Dollars,0,35379,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2009,Dollars,0,33919,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2010,Dollars,0,34777,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2011,Dollars,0,35971,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2012,Dollars,0,37112,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2013,Dollars,0,37970,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2014,Dollars,0,39399,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2015,Dollars,0,40952,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2016,Dollars,0,42472,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2017,Dollars,0,44443,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2018,Dollars,0,46948,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2019,Dollars,0,49004,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2020,Dollars,0,47720,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2021,Dollars,0,54838,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,06000,California,2022,Dollars,0,60272,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,1997,Dollars,0,22341,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,1998,Dollars,0,23516,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,1999,Dollars,0,25114,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2000,Dollars,0,27049,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2001,Dollars,0,27861,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2002,Dollars,0,28236,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2003,Dollars,0,29233,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2004,Dollars,0,30702,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2005,Dollars,0,32131,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2006,Dollars,0,33483,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2007,Dollars,0,34856,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2008,Dollars,0,35436,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2009,Dollars,0,34335,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2010,Dollars,0,34871,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2011,Dollars,0,36108,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2012,Dollars,0,36572,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2013,Dollars,0,37798,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2014,Dollars,0,39447,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2015,Dollars,0,40878,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2016,Dollars,0,42285,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2017,Dollars,0,44281,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2018,Dollars,0,46115,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2019,Dollars,0,48067,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2020,Dollars,0,47355,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2021,Dollars,0,54126,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,08000,Colorado,2022,Dollars,0,59371,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,1997,Dollars,0,24769,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,1998,Dollars,0,26257,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,1999,Dollars,0,27892,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2000,Dollars,0,29575,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2001,Dollars,0,30664,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2002,Dollars,0,31654,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2003,Dollars,0,33023,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2004,Dollars,0,34916,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2005,Dollars,0,36902,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2006,Dollars,0,38715,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2007,Dollars,0,40184,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2008,Dollars,0,41165,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2009,Dollars,0,40137,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2010,Dollars,0,40978,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2011,Dollars,0,41987,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2012,Dollars,0,42958,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2013,Dollars,0,43904,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2014,Dollars,0,45491,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2015,Dollars,0,46696,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2016,Dollars,0,47588,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2017,Dollars,0,49084,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2018,Dollars,0,50888,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2019,Dollars,0,51713,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2020,Dollars,0,51237,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2021,Dollars,0,56371,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,09000,Connecticut,2022,Dollars,0,60413,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,1997,Dollars,0,23179,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,1998,Dollars,0,24385,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,1999,Dollars,0,25719,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2000,Dollars,0,27103,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2001,Dollars,0,28267,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2002,Dollars,0,29357,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2003,Dollars,0,30820,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2004,Dollars,0,32468,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2005,Dollars,0,34191,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2006,Dollars,0,35312,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2007,Dollars,0,36992,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2008,Dollars,0,37327,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2009,Dollars,0,36558,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2010,Dollars,0,37503,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2011,Dollars,0,38830,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2012,Dollars,0,39308,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2013,Dollars,0,39938,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2014,Dollars,0,41310,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2015,Dollars,0,41892,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2016,Dollars,0,42563,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2017,Dollars,0,43879,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2018,Dollars,0,45782,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2019,Dollars,0,46730,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2020,Dollars,0,45032,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2021,Dollars,0,50700,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,10000,Delaware,2022,Dollars,0,54532,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,1997,Dollars,0,34146,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,1998,Dollars,0,35271,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,1999,Dollars,0,37247,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2000,Dollars,0,39504,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2001,Dollars,0,40644,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2002,Dollars,0,42493,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2003,Dollars,0,45139,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2004,Dollars,0,48380,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2005,Dollars,0,51135,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2006,Dollars,0,53689,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2007,Dollars,0,55910,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2008,Dollars,0,57545,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2009,Dollars,0,55364,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2010,Dollars,0,57127,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2011,Dollars,0,58259,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2012,Dollars,0,59099,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2013,Dollars,0,60427,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2014,Dollars,0,62088,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2015,Dollars,0,63388,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2016,Dollars,0,64561,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2017,Dollars,0,66501,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2018,Dollars,0,69871,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,11000,District of Columbia,2019,Dollars,0,72117,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
