Key,Desc,table
500,Private nonfarm employment: Transportation and public utilities,CAEMP25S
10,Total employment,CAEMP25S
90,Private nonfarm employment,CAEMP25S
40,Proprietors employment,CAEMP25S
50,Farm proprietors employment,CAEMP25S
40,Proprietors employment,CAEMP25S
60,Nonfarm proprietors employment,CAEMP25S
900,Employment: Government and government enterprises,CAEMP25S
200,Private nonfarm employment: Mining (B),CAEMP25S
20,Wage and salary employment,CAEMP25S
10,Total employment,CAEMP25S
100,"Private nonfarm earnings: Agricultural services, forestry, and fishing",CAEMP25S
200,Private nonfarm employment: Mining,CAEMP25S
400,Private nonfarm employment: Manufacturing,CAEMP25S
900,Employment: Government and government enterprises,CAEMP25S
50,Farm proprietors employment,CAEMP25S
20,Wage and salary employment,CAEMP25S
610,Private nonfarm employment: Wholesale trade,CAEMP25S
910,Govt. and govt. enterprises employment: Federal civilian,CAEMP25S
800,Private nonfarm employment: Services,CAEMP25S
800,Private nonfarm employment: Services (I),CAEMP25S
80,Nonfarm employment,CAEMP25S
80,Nonfarm employment,CAEMP25S
932,Govt. and govt. enterprises employment: Local government,CAEMP25S
300,Private nonfarm employment: Construction,CAEMP25S
932,Govt. and govt. enterprises employment: Local government,CAEMP25S
300,Private nonfarm employment: Construction (C),CAEMP25S
931,Govt. and govt. enterprises employment: State government,CAEMP25S
931,Govt. and govt. enterprises employment: State government,CAEMP25S
930,Govt. and govt. enterprises employment: State and local,CAEMP25S
700,"Private nonfarm employment: Finance, insurance, and real estate",CAEMP25S
700,"Private nonfarm employment: Finance, insurance, and real estate (H)",CAEMP25S
920,Govt. and govt. enterprises employment: Military,CAEMP25S
70,Farm employment,CAEMP25S
930,Govt. and govt. enterprises employment: State and local,CAEMP25S
920,Govt. and govt. enterprises employment: Military,CAEMP25S
620,Private nonfarm employment: Retail trade (G),CAEMP25S
620,Private nonfarm employment: Retail trade,CAEMP25S
610,Private nonfarm employment: Wholesale trade (F),CAEMP25S
90,Private nonfarm employment,CAEMP25S
70,Farm employment ([01-02]),CAEMP25S] Farm employment ([01-02
100,"Private nonfarm earnings: Agricultural services, forestry, and fishing ([07-09])","CAEMP25S] Private nonfarm earnings: Agricultural services, forestry, and fishing ([07-09"
1,Real Gross Domestic Product (GDP),CAGDP1
2,Chain-type quantity indexes for real GDP,CAGDP1
2,Chain-type quantity indexes for real GDP,CAGDP1
3,Current-dollar Gross Domestic Product (GDP),CAGDP1
3,Current-dollar Gross Domestic Product (GDP),CAGDP1
1,Real Gross Domestic Product (GDP),CAGDP1
10,Contributions to percent change in real GDP: Utilities,CAGDP11
83,Contributions to percent change in real GDP: Government and government enterprises (92),CAGDP11
76,"Contributions to percent change in real GDP: Arts, entertainment, and recreation (71)",CAGDP11
83,Contributions to percent change in real GDP: Government and government enterprises,CAGDP11
90,"Contributions to percent change in real GDP: Manufacturing and information (31-33,51)",CAGDP11
11,Contributions to percent change in real GDP: Construction,CAGDP11
79,Contributions to percent change in real GDP: Accommodation and food services (72),CAGDP11
82,Contributions to percent change in real GDP: Other services (except government and government enterprises),CAGDP11
51,Contributions to percent change in real GDP: Finance and insurance,CAGDP11
12,Contributions to percent change in real GDP: Manufacturing (31-33),CAGDP11
82,Contributions to percent change in real GDP: Other services (except government and government enterprises) (81),CAGDP11
51,Contributions to percent change in real GDP: Finance and insurance (52),CAGDP11
11,Contributions to percent change in real GDP: Construction (23),CAGDP11
64,Contributions to percent change in real GDP: Management of companies and enterprises,CAGDP11
60,"Contributions to percent change in real GDP: Professional, scientific, and technical services",CAGDP11
12,Contributions to percent change in real GDP: Manufacturing,CAGDP11
79,Contributions to percent change in real GDP: Accommodation and food services,CAGDP11
76,"Contributions to percent change in real GDP: Arts, entertainment, and recreation",CAGDP11
88,Contributions to percent change in real GDP: Trade,CAGDP11
75,"Contributions to percent change in real GDP: Arts, entertainment, recreation, accommodation, and food services",CAGDP11
68,"Contributions to percent change in real GDP: Educational services, health care, and social assistance (61,62)",CAGDP11
88,"Contributions to percent change in real GDP: Trade (42,44-45)",CAGDP11
69,Contributions to percent change in real GDP: Educational services (61),CAGDP11
6,"Contributions to percent change in real GDP: Mining, quarrying, and oil and gas extraction",CAGDP11
6,"Contributions to percent change in real GDP: Mining, quarrying, and oil and gas extraction (21)",CAGDP11
69,Contributions to percent change in real GDP: Educational services,CAGDP11
65,Contributions to percent change in real GDP: Administrative and support and waste management and remediation services,CAGDP11
70,Contributions to percent change in real GDP: Health care and social assistance,CAGDP11
70,Contributions to percent change in real GDP: Health care and social assistance (62),CAGDP11
89,"Contributions to percent change in real GDP: Transportation and utilities (22,48-49)",CAGDP11
59,Contributions to percent change in real GDP: Professional and business services,CAGDP11
64,Contributions to percent change in real GDP: Management of companies and enterprises (55),CAGDP11
56,Contributions to percent change in real GDP: Real estate and rental and leasing (53),CAGDP11
65,Contributions to percent change in real GDP: Administrative and support and waste management and remediation services (56),CAGDP11
56,Contributions to percent change in real GDP: Real estate and rental and leasing,CAGDP11
60,"Contributions to percent change in real GDP: Professional, scientific, and technical services (54)",CAGDP11
87,"Contributions to percent change in real GDP: Natural resources and mining (11,21)",CAGDP11
90,Contributions to percent change in real GDP: Manufacturing and information,CAGDP11
87,Contributions to percent change in real GDP: Natural resources and mining,CAGDP11
2,Contributions to percent change in real GDP: Private industries,CAGDP11
2,Contributions to percent change in real GDP: Private industries,CAGDP11
13,"Contributions to percent change in real GDP: Durable goods manufacturing (321,327-339)",CAGDP11
13,Contributions to percent change in real GDP: Durable goods manufacturing,CAGDP11
68,"Contributions to percent change in real GDP: Educational services, health care, and social assistance",CAGDP11
89,Contributions to percent change in real GDP: Transportation and utilities,CAGDP11
75,"Contributions to percent change in real GDP: Arts, entertainment, recreation, accommodation, and food services (71,72)",CAGDP11
59,"Contributions to percent change in real GDP: Professional and business services (54,55,56)",CAGDP11
91,Contributions to percent change in real GDP: Private goods-producing industries,CAGDP11
25,"Contributions to percent change in real GDP: Nondurable goods manufacturing (311-316,322-326)",CAGDP11
45,Contributions to percent change in real GDP: Information,CAGDP11
36,Contributions to percent change in real GDP: Transportation and warehousing,CAGDP11
34,Contributions to percent change in real GDP: Wholesale trade (42),CAGDP11
45,Contributions to percent change in real GDP: Information (51),CAGDP11
3,"Contributions to percent change in real GDP: Agriculture, forestry, fishing and hunting",CAGDP11
10,Contributions to percent change in real GDP: Utilities (22),CAGDP11
91,Contributions to percent change in real GDP: Private goods-producing industries,CAGDP11
35,Contributions to percent change in real GDP: Retail trade (44-45),CAGDP11
92,Contributions to percent change in real GDP: Private services-providing industries,CAGDP11
34,Contributions to percent change in real GDP: Wholesale trade,CAGDP11
50,"Contributions to percent change in real GDP: Finance, insurance, real estate, rental, and leasing (52,53)",CAGDP11
35,Contributions to percent change in real GDP: Retail trade,CAGDP11
36,Contributions to percent change in real GDP: Transportation and warehousing (48-49),CAGDP11
3,"Contributions to percent change in real GDP: Agriculture, forestry, fishing and hunting (11)",CAGDP11
25,Contributions to percent change in real GDP: Nondurable goods manufacturing,CAGDP11
92,Contributions to percent change in real GDP: Private services-providing industries,CAGDP11
1,Contributions to percent change in real GDP: All industry total (percent change),CAGDP11
1,Contributions to percent change in real GDP: All industry total (percent change),CAGDP11
50,"Contributions to percent change in real GDP: Finance, insurance, real estate, rental, and leasing",CAGDP11
10,Gross Domestic Product (GDP): Utilities (22),CAGDP2
92,Gross Domestic Product (GDP): Private services-providing industries,CAGDP2
36,Gross Domestic Product (GDP): Transportation and warehousing,CAGDP2
13,Gross Domestic Product (GDP): Durable goods manufacturing,CAGDP2
6,"Gross Domestic Product (GDP): Mining, quarrying, and oil and gas extraction (21)",CAGDP2
65,Gross Domestic Product (GDP): Administrative and support and waste management and remediation services,CAGDP2
34,Gross Domestic Product (GDP): Wholesale trade,CAGDP2
12,Gross Domestic Product (GDP): Manufacturing (31-33),CAGDP2
59,"Gross Domestic Product (GDP): Professional and business services (54,55,56)",CAGDP2
68,"Gross Domestic Product (GDP): Educational services, health care, and social assistance",CAGDP2
59,Gross Domestic Product (GDP): Professional and business services,CAGDP2
75,"Gross Domestic Product (GDP): Arts, entertainment, recreation, accommodation, and food services (71,72)",CAGDP2
6,"Gross Domestic Product (GDP): Mining, quarrying, and oil and gas extraction",CAGDP2
89,"Gross Domestic Product (GDP): Transportation and utilities (22,48-49)",CAGDP2
36,Gross Domestic Product (GDP): Transportation and warehousing (48-49),CAGDP2
79,Gross Domestic Product (GDP): Accommodation and food services,CAGDP2
25,Gross Domestic Product (GDP): Nondurable goods manufacturing,CAGDP2
13,"Gross Domestic Product (GDP): Durable goods manufacturing (321,327-339)",CAGDP2
64,Gross Domestic Product (GDP): Management of companies and enterprises (55),CAGDP2
60,"Gross Domestic Product (GDP): Professional, scientific, and technical services",CAGDP2
76,"Gross Domestic Product (GDP): Arts, entertainment, and recreation (71)",CAGDP2
65,Gross Domestic Product (GDP): Administrative and support and waste management and remediation services (56),CAGDP2
91,Gross Domestic Product (GDP): Private goods-producing industries,CAGDP2
76,"Gross Domestic Product (GDP): Arts, entertainment, and recreation",CAGDP2
90,"Gross Domestic Product (GDP): Manufacturing and information (31-33,51)",CAGDP2
87,Gross Domestic Product (GDP): Natural resources and mining,CAGDP2
75,"Gross Domestic Product (GDP): Arts, entertainment, recreation, accommodation, and food services",CAGDP2
79,Gross Domestic Product (GDP): Accommodation and food services (72),CAGDP2
91,Gross Domestic Product (GDP): Private goods-producing industries,CAGDP2
89,Gross Domestic Product (GDP): Transportation and utilities,CAGDP2
60,"Gross Domestic Product (GDP): Professional, scientific, and technical services (54)",CAGDP2
64,Gross Domestic Product (GDP): Management of companies and enterprises,CAGDP2
90,Gross Domestic Product (GDP): Manufacturing and information,CAGDP2
70,Gross Domestic Product (GDP): Health care and social assistance (62),CAGDP2
88,Gross Domestic Product (GDP): Trade,CAGDP2
35,Gross Domestic Product (GDP): Retail trade (44-45),CAGDP2
34,Gross Domestic Product (GDP): Wholesale trade (42),CAGDP2
3,"Gross Domestic Product (GDP): Agriculture, forestry, fishing and hunting (11)",CAGDP2
69,Gross Domestic Product (GDP): Educational services,CAGDP2
82,Gross Domestic Product (GDP): Other services (except government and government enterprises),CAGDP2
69,Gross Domestic Product (GDP): Educational services (61),CAGDP2
11,Gross Domestic Product (GDP): Construction,CAGDP2
50,"Gross Domestic Product (GDP): Finance, insurance, real estate, rental, and leasing (52,53)",CAGDP2
1,Gross Domestic Product (GDP): All industry total,CAGDP2
35,Gross Domestic Product (GDP): Retail trade,CAGDP2
51,Gross Domestic Product (GDP): Finance and insurance (52),CAGDP2
83,Gross Domestic Product (GDP): Government and government enterprises,CAGDP2
70,Gross Domestic Product (GDP): Health care and social assistance,CAGDP2
83,Gross Domestic Product (GDP): Government and government enterprises (92),CAGDP2
1,Gross Domestic Product (GDP): All industry total,CAGDP2
10,Gross Domestic Product (GDP): Utilities,CAGDP2
50,"Gross Domestic Product (GDP): Finance, insurance, real estate, rental, and leasing",CAGDP2
51,Gross Domestic Product (GDP): Finance and insurance,CAGDP2
82,Gross Domestic Product (GDP): Other services (except government and government enterprises) (81),CAGDP2
2,Gross Domestic Product (GDP): Private industries,CAGDP2
2,Gross Domestic Product (GDP): Private industries,CAGDP2
25,"Gross Domestic Product (GDP): Nondurable goods manufacturing (311-316,322-326)",CAGDP2
56,Gross Domestic Product (GDP): Real estate and rental and leasing (53),CAGDP2
87,"Gross Domestic Product (GDP): Natural resources and mining (11,21)",CAGDP2
56,Gross Domestic Product (GDP): Real estate and rental and leasing,CAGDP2
45,Gross Domestic Product (GDP): Information,CAGDP2
11,Gross Domestic Product (GDP): Construction (23),CAGDP2
3,"Gross Domestic Product (GDP): Agriculture, forestry, fishing and hunting",CAGDP2
68,"Gross Domestic Product (GDP): Educational services, health care, and social assistance (61,62)",CAGDP2
12,Gross Domestic Product (GDP): Manufacturing,CAGDP2
92,Gross Domestic Product (GDP): Private services-providing industries,CAGDP2
45,Gross Domestic Product (GDP): Information (51),CAGDP2
88,"Gross Domestic Product (GDP): Trade (42,44-45)",CAGDP2
69,Chain-type quantity indexes for real GDP: Educational services,CAGDP8
87,Chain-type quantity indexes for real GDP: Natural resources and mining,CAGDP8
88,Chain-type quantity indexes for real GDP: Trade,CAGDP8
34,Chain-type quantity indexes for real GDP: Wholesale trade,CAGDP8
68,"Chain-type quantity indexes for real GDP: Educational services, health care, and social assistance",CAGDP8
36,Chain-type quantity indexes for real GDP: Transportation and warehousing,CAGDP8
92,Chain-type quantity indexes for real GDP: Private services-providing industries,CAGDP8
70,Chain-type quantity indexes for real GDP: Health care and social assistance (62),CAGDP8
70,Chain-type quantity indexes for real GDP: Health care and social assistance,CAGDP8
64,Chain-type quantity indexes for real GDP: Management of companies and enterprises,CAGDP8
35,Chain-type quantity indexes for real GDP: Retail trade (44-45),CAGDP8
13,Chain-type quantity indexes for real GDP: Durable goods manufacturing,CAGDP8
25,"Chain-type quantity indexes for real GDP: Nondurable goods manufacturing (311-316,322-326)",CAGDP8
1,Chain-type quantity indexes for real GDP: All industry total,CAGDP8
87,"Chain-type quantity indexes for real GDP: Natural resources and mining (11,21)",CAGDP8
64,Chain-type quantity indexes for real GDP: Management of companies and enterprises (55),CAGDP8
65,Chain-type quantity indexes for real GDP: Administrative and support and waste management and remediation services,CAGDP8
89,Chain-type quantity indexes for real GDP: Transportation and utilities,CAGDP8
89,"Chain-type quantity indexes for real GDP: Transportation and utilities (22,48-49)",CAGDP8
13,"Chain-type quantity indexes for real GDP: Durable goods manufacturing (321,327-339)",CAGDP8
69,Chain-type quantity indexes for real GDP: Educational services (61),CAGDP8
65,Chain-type quantity indexes for real GDP: Administrative and support and waste management and remediation services (56),CAGDP8
34,Chain-type quantity indexes for real GDP: Wholesale trade (42),CAGDP8
88,"Chain-type quantity indexes for real GDP: Trade (42,44-45)",CAGDP8
68,"Chain-type quantity indexes for real GDP: Educational services, health care, and social assistance (61,62)",CAGDP8
76,"Chain-type quantity indexes for real GDP: Arts, entertainment, and recreation (71)",CAGDP8
92,Chain-type quantity indexes for real GDP: Private services-providing industries,CAGDP8
83,Chain-type quantity indexes for real GDP: Government and government enterprises (92),CAGDP8
59,Chain-type quantity indexes for real GDP: Professional and business services,CAGDP8
75,"Chain-type quantity indexes for real GDP: Arts, entertainment, recreation, accommodation, and food services (71,72)",CAGDP8
56,Chain-type quantity indexes for real GDP: Real estate and rental and leasing (53),CAGDP8
3,"Chain-type quantity indexes for real GDP: Agriculture, forestry, fishing and hunting",CAGDP8
56,Chain-type quantity indexes for real GDP: Real estate and rental and leasing,CAGDP8
45,Chain-type quantity indexes for real GDP: Information,CAGDP8
12,Chain-type quantity indexes for real GDP: Manufacturing,CAGDP8
45,Chain-type quantity indexes for real GDP: Information (51),CAGDP8
11,Chain-type quantity indexes for real GDP: Construction (23),CAGDP8
59,"Chain-type quantity indexes for real GDP: Professional and business services (54,55,56)",CAGDP8
2,Chain-type quantity indexes for real GDP: Private industries,CAGDP8
2,Chain-type quantity indexes for real GDP: Private industries,CAGDP8
82,Chain-type quantity indexes for real GDP: Other services (except government and government enterprises),CAGDP8
11,Chain-type quantity indexes for real GDP: Construction,CAGDP8
1,Chain-type quantity indexes for real GDP: All industry total,CAGDP8
51,Chain-type quantity indexes for real GDP: Finance and insurance (52),CAGDP8
50,"Chain-type quantity indexes for real GDP: Finance, insurance, real estate, rental, and leasing (52,53)",CAGDP8
83,Chain-type quantity indexes for real GDP: Government and government enterprises,CAGDP8
51,Chain-type quantity indexes for real GDP: Finance and insurance,CAGDP8
10,Chain-type quantity indexes for real GDP: Utilities,CAGDP8
50,"Chain-type quantity indexes for real GDP: Finance, insurance, real estate, rental, and leasing",CAGDP8
82,Chain-type quantity indexes for real GDP: Other services (except government and government enterprises) (81),CAGDP8
12,Chain-type quantity indexes for real GDP: Manufacturing (31-33),CAGDP8
3,"Chain-type quantity indexes for real GDP: Agriculture, forestry, fishing and hunting (11)",CAGDP8
10,Chain-type quantity indexes for real GDP: Utilities (22),CAGDP8
36,Chain-type quantity indexes for real GDP: Transportation and warehousing (48-49),CAGDP8
25,Chain-type quantity indexes for real GDP: Nondurable goods manufacturing,CAGDP8
90,Chain-type quantity indexes for real GDP: Manufacturing and information,CAGDP8
75,"Chain-type quantity indexes for real GDP: Arts, entertainment, recreation, accommodation, and food services",CAGDP8
60,"Chain-type quantity indexes for real GDP: Professional, scientific, and technical services",CAGDP8
76,"Chain-type quantity indexes for real GDP: Arts, entertainment, and recreation",CAGDP8
91,Chain-type quantity indexes for real GDP: Private goods-producing industries,CAGDP8
90,"Chain-type quantity indexes for real GDP: Manufacturing and information (31-33,51)",CAGDP8
91,Chain-type quantity indexes for real GDP: Private goods-producing industries,CAGDP8
79,Chain-type quantity indexes for real GDP: Accommodation and food services (72),CAGDP8
35,Chain-type quantity indexes for real GDP: Retail trade,CAGDP8
60,"Chain-type quantity indexes for real GDP: Professional, scientific, and technical services (54)",CAGDP8
79,Chain-type quantity indexes for real GDP: Accommodation and food services,CAGDP8
6,"Chain-type quantity indexes for real GDP: Mining, quarrying, and oil and gas extraction (21)",CAGDP8
6,"Chain-type quantity indexes for real GDP: Mining, quarrying, and oil and gas extraction",CAGDP8
79,Real GDP: Accommodation and food services (72),CAGDP9
87,Real GDP: Natural resources and mining,CAGDP9
75,"Real GDP: Arts, entertainment, recreation, accommodation, and food services (71,72)",CAGDP9
13,"Real GDP: Durable goods manufacturing (321,327-339)",CAGDP9
70,Real GDP: Health care and social assistance (62),CAGDP9
83,Real GDP: Government and government enterprises,CAGDP9
13,Real GDP: Durable goods manufacturing,CAGDP9
3,"Real GDP: Agriculture, forestry, fishing and hunting (11)",CAGDP9
75,"Real GDP: Arts, entertainment, recreation, accommodation, and food services",CAGDP9
34,Real GDP: Wholesale trade (42),CAGDP9
79,Real GDP: Accommodation and food services,CAGDP9
82,Real GDP: Other services (except government and government enterprises),CAGDP9
34,Real GDP: Wholesale trade,CAGDP9
76,"Real GDP: Arts, entertainment, and recreation",CAGDP9
1,Real GDP: All industry total,CAGDP9
82,Real GDP: Other services (except government and government enterprises) (81),CAGDP9
87,"Real GDP: Natural resources and mining (11,21)",CAGDP9
12,Real GDP: Manufacturing (31-33),CAGDP9
3,"Real GDP: Agriculture, forestry, fishing and hunting",CAGDP9
76,"Real GDP: Arts, entertainment, and recreation (71)",CAGDP9
11,Real GDP: Construction (23),CAGDP9
12,Real GDP: Manufacturing,CAGDP9
11,Real GDP: Construction,CAGDP9
50,"Real GDP: Finance, insurance, real estate, rental, and leasing",CAGDP9
83,Real GDP: Government and government enterprises (92),CAGDP9
70,Real GDP: Health care and social assistance,CAGDP9
92,Real GDP: Private services-providing industries,CAGDP9
36,Real GDP: Transportation and warehousing (48-49),CAGDP9
25,Real GDP: Nondurable goods manufacturing,CAGDP9
90,Real GDP: Manufacturing and information,CAGDP9
60,"Real GDP: Professional, scientific, and technical services",CAGDP9
91,Real GDP: Private goods-producing industries,CAGDP9
90,"Real GDP: Manufacturing and information (31-33,51)",CAGDP9
60,"Real GDP: Professional, scientific, and technical services (54)",CAGDP9
6,"Real GDP: Mining, quarrying, and oil and gas extraction",CAGDP9
6,"Real GDP: Mining, quarrying, and oil and gas extraction (21)",CAGDP9
59,"Real GDP: Professional and business services (54,55,56)",CAGDP9
10,Real GDP: Utilities (22),CAGDP9
59,Real GDP: Professional and business services,CAGDP9
56,Real GDP: Real estate and rental and leasing (53),CAGDP9
56,Real GDP: Real estate and rental and leasing,CAGDP9
45,Real GDP: Information,CAGDP9
45,Real GDP: Information (51),CAGDP9
2,Real GDP: Private industries,CAGDP9
2,Real GDP: Private industries,CAGDP9
51,Real GDP: Finance and insurance (52),CAGDP9
51,Real GDP: Finance and insurance,CAGDP9
50,"Real GDP: Finance, insurance, real estate, rental, and leasing (52,53)",CAGDP9
10,Real GDP: Utilities,CAGDP9
64,Real GDP: Management of companies and enterprises,CAGDP9
92,Real GDP: Private services-providing industries,CAGDP9
91,Real GDP: Private goods-producing industries,CAGDP9
64,Real GDP: Management of companies and enterprises (55),CAGDP9
68,"Real GDP: Educational services, health care, and social assistance (61,62)",CAGDP9
68,"Real GDP: Educational services, health care, and social assistance",CAGDP9
88,Real GDP: Trade,CAGDP9
25,"Real GDP: Nondurable goods manufacturing (311-316,322-326)",CAGDP9
65,Real GDP: Administrative and support and waste management and remediation services,CAGDP9
35,Real GDP: Retail trade,CAGDP9
69,Real GDP: Educational services,CAGDP9
35,Real GDP: Retail trade (44-45),CAGDP9
89,"Real GDP: Transportation and utilities (22,48-49)",CAGDP9
89,Real GDP: Transportation and utilities,CAGDP9
88,"Real GDP: Trade (42,44-45)",CAGDP9
65,Real GDP: Administrative and support and waste management and remediation services (56),CAGDP9
69,Real GDP: Educational services (61),CAGDP9
1,Real GDP: All industry total,CAGDP9
36,Real GDP: Transportation and warehousing,CAGDP9
2,Population,CAINC1
2,Population,CAINC1
3,Per capita personal income,CAINC1
1,Personal income,CAINC1
1,Personal income,CAINC1
3,Per capita personal income,CAINC1
70,Unemployment insurance compensation,CAINC30
180,Earnings by place of work,CAINC30
180,Earnings by place of work,CAINC30
45,Net earnings by place of residence,CAINC30
190,Wages and salaries,CAINC30
290,Average earnings per job,CAINC30
290,Average earnings per job,CAINC30
200,Supplements to wages and salaries,CAINC30
110,Per capita personal income,CAINC30
202,Employer contributions for government social insurance,CAINC30
110,Per capita personal income,CAINC30
202,Employer contributions for government social insurance,CAINC30
201,Employer contributions for employee pension and insurance funds,CAINC30
45,Net earnings by place of residence,CAINC30
280,Nonfarm proprietors employment,CAINC30
210,Proprietors' income,CAINC30
210,Proprietors' income,CAINC30
200,Supplements to wages and salaries,CAINC30
201,Employer contributions for employee pension and insurance funds,CAINC30
50,Personal current transfer receipts,CAINC30
190,Wages and salaries,CAINC30
220,Farm proprietors' income,CAINC30
80,Retirement and other,CAINC30
160,Per capita retirement and other,CAINC30
250,Wage and salary employment,CAINC30
310,Average nonfarm proprietors' income,CAINC30
310,Average nonfarm proprietors' income,CAINC30
120,Per capita net earnings,CAINC30
120,Per capita net earnings,CAINC30
260,Proprietors employment,CAINC30
160,Per capita retirement and other,CAINC30
260,Proprietors employment,CAINC30
60,Income maintenance benefits,CAINC30
300,Average wages and salaries,CAINC30
170,"Per capita dividends, interest, and rent",CAINC30
240,Total employment,CAINC30
300,Average wages and salaries,CAINC30
140,Per capita income maintenance benefits,CAINC30
170,"Per capita dividends, interest, and rent",CAINC30
130,Per capita personal current transfer receipts,CAINC30
270,Farm proprietors employment,CAINC30
70,Unemployment insurance compensation,CAINC30
60,Income maintenance benefits,CAINC30
270,Farm proprietors employment,CAINC30
240,Total employment,CAINC30
50,Personal current transfer receipts,CAINC30
150,Per capita unemployment insurance compensation,CAINC30
230,Nonfarm proprietors' income,CAINC30
140,Per capita income maintenance benefits,CAINC30
230,Nonfarm proprietors' income,CAINC30
80,Retirement and other,CAINC30
250,Wage and salary employment,CAINC30
220,Farm proprietors' income,CAINC30
130,Per capita personal current transfer receipts,CAINC30
150,Per capita unemployment insurance compensation,CAINC30
280,Nonfarm proprietors employment,CAINC30
100,Population,CAINC30
90,"Dividends, interest, and rent",CAINC30
100,Population,CAINC30
90,"Dividends, interest, and rent",CAINC30
10,Personal income,CAINC30
10,Personal income,CAINC30
2600,Education and training assistance,CAINC35
2600,Education and training assistance,CAINC35
2340,Other income maintenance benefits,CAINC35
1000,Personal current transfer receipts,CAINC35
2340,Other income maintenance benefits,CAINC35
2230,Military medical insurance benefits,CAINC35
1000,Personal current transfer receipts,CAINC35
2330,Supplemental Nutrition Assistance Program (SNAP),CAINC35
2700,Other transfer receipts of individuals from governments,CAINC35
5000,Refundable tax credits,CAINC35
5000,Refundable tax credits,CAINC35
2120,Excluding Social Security benefits,CAINC35
2700,Other transfer receipts of individuals from governments,CAINC35
